Bedrooms,Number of people,House area (sq yards),is_AC ,is_TV ,Number of Fans,is_energy-efficient appliances ,is_renewable energy sources,washing machine usage ,Number of electronic devices,Electricity bill
3,5,120,No,No,4,Yes,No,Less than 5 times,None,4000
4,10,530,Yes,Yes,9,Yes,No,More than 10 times,More than 5,70600
3,5,200,Yes,Yes,7,Yes,No,About 5 to 10 times,More than 5,15700
3,5,120,Yes,Yes,7,Yes,No,More than 10 times,Less than 5,19200
6,11,400,Yes,Yes,11,Yes,No,More than 10 times,More than 5,48007
3,6,240,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,50004
3,5,120,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,30002
6,11,400,Yes,Yes,12,Yes,No,About 5 to 10 times,More than 5,50033
2,4,120,Yes,Yes,4,Yes,No,Less than 5 times,More than 5,16000
6,11,400,Yes,Yes,12,Yes,No,More than 10 times,More than 5,45100
5,5,300,Yes,Yes,9,Yes,No,Less than 5 times,More than 5,32020
4,9,300,Yes,Yes,9,Yes,No,More than 10 times,More than 5,31000
6,15,400,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,48000
4,5,120,Yes,Yes,12,Yes,No,About 5 to 10 times,More than 5,27000
4,6,200,Yes,Yes,7,No,No,More than 10 times,More than 5,250000
4,5,240,Yes,Yes,8,Yes,Yes,More than 10 times,More than 5,27670
3,5,250,Yes,Yes,5,Yes,No,I do not have a washing machine,More than 5,26000
2,3,600,Yes,Yes,2,Yes,No,About 5 to 10 times,Less than 5,7000
5,9,120,Yes,Yes,12,Yes,No,About 5 to 10 times,More than 5,40000
3,5,190,Yes,No,7,Yes,No,More than 10 times,More than 5,28140
7,13,120,No,Yes,8,Yes,No,About 5 to 10 times,More than 5,20000
3,6,120,No,No,4,Yes,Yes,Less than 5 times,Less than 5,3000
2,5,120,Yes,Yes,4,Yes,No,Less than 5 times,More than 5,8200
3,4,120,Yes,Yes,6,Yes,No,More than 10 times,More than 5,20000
6,8,180,No,Yes,6,Yes,No,Less than 5 times,More than 5,12000
3,7,120,Yes,Yes,6,Yes,No,Less than 5 times,More than 5,18060
4,8,400,No,No,5,Yes,No,About 5 to 10 times,More than 5,4408
2,4,160,Yes,No,4,Yes,No,I do not have a washing machine,More than 5,40070
3,5,150,Yes,No,4,Yes,No,More than 10 times,Less than 5,10078
5,8,250,Yes,Yes,8,Yes,Yes,More than 10 times,More than 5,280079
4,6,230,No,Yes,5,Yes,No,Less than 5 times,More than 5,60045
2,4,120,Yes,No,3,Yes,No,I do not have a washing machine,More than 5,80034
2,8,60,No,No,3,Yes,Yes,About 5 to 10 times,Less than 5,4004
5,6,200,No,Yes,7,Yes,No,More than 10 times,More than 5,8934
3,4,120,No,Yes,5,Yes,No,About 5 to 10 times,More than 5,18067
4,6,260,Yes,Yes,5,Yes,Yes,Less than 5 times,Less than 5,1501
3,5,700,Yes,Yes,6,Yes,No,About 5 to 10 times,None,28012
2,3,150,Yes,Yes,5,Yes,No,Less than 5 times,Less than 5,33678
3,5,150,Yes,Yes,5,Yes,No,I do not have a washing machine,More than 5,18071
7,15,120,Yes,Yes,14,Yes,No,About 5 to 10 times,More than 5,17022
4,5,180,Yes,Yes,9,Yes,No,About 5 to 10 times,More than 5,18501
2,4,120,No,No,4,Yes,No,Less than 5 times,Less than 5,11002
2,4,200,Yes,Yes,4,No,No,More than 10 times,More than 5,52230
2,3,110,Yes,Yes,5,Yes,No,Less than 5 times,More than 5,9034
